path,ok,error,total_lines,nonblank_lines,sloc
SemBench/data/loop3_1000/code/000-1178_clang_algorithm_select-sort.c,True,,85,85,85
SemBench/data/loop3_1000/code/000-13526_B_17_lubomir_homework_3_task_5.c,True,,15,15,15
SemBench/data/loop3_1000/code/000-138_0041_first_missing_positive_missing_positive.c,True,,38,38,38
SemBench/data/loop3_1000/code/000-18548_Prims_Algorithm_Prims_Algorithm.c,True,,139,139,139
SemBench/data/loop3_1000/code/000-28461_Algorithms_Sorting_selectionSort.c,True,,35,35,35
SemBench/data/loop3_1000/code/000-33530_find_longest_common_prefix_for_array_of_strings_find_longest_common_prefix_for_array_of_strings.c,True,,77,77,77
SemBench/data/loop3_1000/code/000-5063_tests_07_phases_omp.dg_common_c_success_new_udr_02.c,True,,26,26,26
SemBench/data/loop3_1000/code/000-571_string_split.c,True,,45,45,45
SemBench/data/loop3_1000/code/001-21665_CLearning_CPrimerPlus_chap10_rain.c,True,,34,34,34
SemBench/data/loop3_1000/code/002-2681_Chapter_5_5_10_5_10.c,True,,89,89,89
SemBench/data/loop3_1000/code/002-5209_libgomp_testsuite_libgomp.c-c++-common_simd-17.c,True,,67,67,67
SemBench/data/loop3_1000/code/003-1451_examples_38_wifiscope_toflash.c,True,,61,61,61
SemBench/data/loop3_1000/code/003-19338_Manual_test-cases_examples_chill_swim.c,True,,140,140,140
SemBench/data/loop3_1000/code/003-27981_lcthw_ex15_ex15.c,True,,31,31,31
SemBench/data/loop3_1000/code/003-34255_insertion_sort_insertion_sort.c,True,,24,24,24
SemBench/data/loop3_1000/code/003-7576_tests_csmith_rand52.c,True,,2707,2707,2707
SemBench/data/loop3_1000/code/003-9694_problems_C_quotes.c,True,,38,38,38
SemBench/data/loop3_1000/code/004-3379_Linux_Tools_CShuffle_CShuffle.c,True,,60,60,60
SemBench/data/loop3_1000/code/004-35532_kr_knr_5_5.c,True,,51,51,51
SemBench/data/loop3_1000/code/004-6160_labs_06_peterson.c,True,,44,44,44
SemBench/data/loop3_1000/code/005-595_string_word_length.c,True,,50,50,50
SemBench/data/loop3_1000/code/005-8796_0300_longest_increasing_subsequence_lis.c,True,,36,36,36
SemBench/data/loop3_1000/code/006-17287_libgomp_testsuite_libgomp.c-c++-common_pr66199-12.c,True,,52,52,52
SemBench/data/loop3_1000/code/006-17926_2_burger.c,True,,119,119,119
SemBench/data/loop3_1000/code/006-27446_kLargestNumber_Heap2.c,True,,97,97,97
SemBench/data/loop3_1000/code/006-29585_excercise16_matrixchain.c,True,,59,59,59
SemBench/data/loop3_1000/code/006-34039_poc_strtok_main.c,True,,70,70,70
SemBench/data/loop3_1000/code/007-30460_Sorting_Quick_Sort_rand_quicksort.c,True,,59,59,59
SemBench/data/loop3_1000/code/007-34042_tools_dtep2txt.c,True,,35,35,35
SemBench/data/loop3_1000/code/008-14731_homework_hw13_list_errors.c,True,,129,129,129
SemBench/data/loop3_1000/code/008-15986_pthread-race_race.c,True,,28,28,28
SemBench/data/loop3_1000/code/008-23844_c_27_remove_element.c,True,,41,41,41
SemBench/data/loop3_1000/code/008-4007_reverseWordsInSentence_reverse_words_in_a_sentence_V1.c,True,,56,56,56
SemBench/data/loop3_1000/code/008-6076_not-ready-for-prime-time_machinebits.c,True,,76,76,76
SemBench/data/loop3_1000/code/009-20916_bubble_sort.c,True,,24,24,24
SemBench/data/loop3_1000/code/009-23783_gdb_testsuite_gdb.octeon_hwib-1.c,True,,20,20,20
SemBench/data/loop3_1000/code/009-28076_graphics_VTK-7.0.0_Utilities_OutputWindowProcess_vtkEncodeExecutable.c,True,,74,74,74
SemBench/data/loop3_1000/code/009-33122_soal4.c,True,,32,32,32
SemBench/data/loop3_1000/code/009-657_src_dsa_queens.c,True,,201,201,201
SemBench/data/loop3_1000/code/010-15863_2_2.20.c,True,,77,77,77
